323	Q0	FBIS4-25443	6	10.920599	LMDirichlet1000.0-D10-content
413	Q0	FT933-1180	3	6.5799513	LMDirichlet1000.0-D10-content
428	Q0	FT943-9226	2	8.6088295	LMDirichlet1000.0-D10-content
368	Q0	LA081490-0123	4	11.650433	LMDirichlet1000.0-D10-content
649	Q0	FT921-4469	4	9.753666	LMDirichlet1000.0-D10-content
353	Q0	LA120389-0149	9	9.303766	LMDirichlet1000.0-D10-content
698	Q0	LA071790-0125	2	9.598444	LMDirichlet1000.0-D10-content
441	Q0	LA092090-0248	6	8.210346	LMDirichlet1000.0-D10-content
360	Q0	LA050789-0008	6	6.2163725	LMDirichlet1000.0-D10-content
332	Q0	FT932-1567	2	8.004034	LMDirichlet1000.0-D10-content
679	Q0	LA072290-0043	6	6.187043	LMDirichlet1000.0-D10-content
306	Q0	FT932-17210	9	7.06138	LMDirichlet1000.0-D10-content
388	Q0	FR940920-2-00048	4	7.3123116	LMDirichlet1000.0-D10-content
390	Q0	FR940830-2-00058	6	8.958346	LMDirichlet1000.0-D10-content
647	Q0	LA111890-0057	10	8.21043	LMDirichlet1000.0-D10-content
377	Q0	FR940706-0-00100	4	10.26631	LMDirichlet1000.0-D10-content
642	Q0	FBIS4-25097	5	11.864472	LMDirichlet1000.0-D10-content
679	Q0	LA082490-0081	5	6.3546762	LMDirichlet1000.0-D10-content
325	Q0	LA071090-0118	1	9.903109	LMDirichlet1000.0-D10-content
690	Q0	FT944-12903	2	8.187242	LMDirichlet1000.0-D10-content
391	Q0	FR940513-2-00112	7	5.1614685	LMDirichlet1000.0-D10-content
628	Q0	FBIS4-9810	6	5.544773	LMDirichlet1000.0-D10-content
311	Q0	FT931-3928	6	6.747228	LMDirichlet1000.0-D10-content
697	Q0	FT922-8958	9	8.597992	LMDirichlet1000.0-D10-content
449	Q0	FT924-5307	8	7.6385636	LMDirichlet1000.0-D10-content
374	Q0	LA101389-0049	9	12.4945135	LMDirichlet1000.0-D10-content
