323	Q0	FBIS4-25443	10.920599	LMDirichlet1000.0-D10-content
413	Q0	FT933-1180	6.5799513	LMDirichlet1000.0-D10-content
428	Q0	FT943-9226	8.6088295	LMDirichlet1000.0-D10-content
368	Q0	LA081490-0123	11.650433	LMDirichlet1000.0-D10-content
649	Q0	FT921-4469	9.753666	LMDirichlet1000.0-D10-content
353	Q0	LA120389-0149	9.303766	LMDirichlet1000.0-D10-content
698	Q0	LA071790-0125	9.598444	LMDirichlet1000.0-D10-content
441	Q0	LA092090-0248	8.210346	LMDirichlet1000.0-D10-content
360	Q0	LA050789-0008	6.2163725	LMDirichlet1000.0-D10-content
332	Q0	FT932-1567	8.004034	LMDirichlet1000.0-D10-content
679	Q0	LA072290-0043	6.187043	LMDirichlet1000.0-D10-content
306	Q0	FT932-17210	7.06138	LMDirichlet1000.0-D10-content
388	Q0	FR940920-2-00048	7.3123116	LMDirichlet1000.0-D10-content
390	Q0	FR940830-2-00058	8.958346	LMDirichlet1000.0-D10-content
647	Q0	LA111890-0057	8.21043	LMDirichlet1000.0-D10-content
377	Q0	FR940706-0-00100	10.26631	LMDirichlet1000.0-D10-content
642	Q0	FBIS4-25097	11.864472	LMDirichlet1000.0-D10-content
679	Q0	LA082490-0081	6.3546762	LMDirichlet1000.0-D10-content
325	Q0	LA071090-0118	9.903109	LMDirichlet1000.0-D10-content
690	Q0	FT944-12903	8.187242	LMDirichlet1000.0-D10-content
391	Q0	FR940513-2-00112	5.1614685	LMDirichlet1000.0-D10-content
628	Q0	FBIS4-9810	5.544773	LMDirichlet1000.0-D10-content
311	Q0	FT931-3928	6.747228	LMDirichlet1000.0-D10-content
697	Q0	FT922-8958	8.597992	LMDirichlet1000.0-D10-content
449	Q0	FT924-5307	7.6385636	LMDirichlet1000.0-D10-content
374	Q0	LA101389-0049	12.4945135	LMDirichlet1000.0-D10-content
364	Q0	FR941006-1-00007	8.5560465	LMDirichlet1000.0-D10-content
352	Q0	FT942-11118	9.404386	LMDirichlet1000.0-D10-content
320	Q0	FBIS3-59791	16.549232	LMDirichlet1000.0-D10-content
682	Q0	FR940825-1-00054	8.556955	LMDirichlet1000.0-D10-content
607	Q0	FT932-16747	9.771385	LMDirichlet1000.0-D10-content
305	Q0	LA082389-0001	5.303012	LMDirichlet1000.0-D10-content
352	Q0	FT934-2741	8.966125	LMDirichlet1000.0-D10-content
323	Q0	LA100889-0011	9.778346	LMDirichlet1000.0-D10-content
396	Q0	FT923-7392	14.086421	LMDirichlet1000.0-D10-content
376	Q0	FBIS3-36568	4.0393	LMDirichlet1000.0-D10-content
640	Q0	FT921-3529	8.386187	LMDirichlet1000.0-D10-content
615	Q0	FT943-9	8.78599	LMDirichlet1000.0-D10-content
423	Q0	FBIS4-30975	19.41788	LMDirichlet1000.0-D10-content
625	Q0	FT931-6324	10.820842	LMDirichlet1000.0-D10-content
382	Q0	FBIS3-59723	13.439415	LMDirichlet1000.0-D10-content
420	Q0	LA060989-0102	14.203303	LMDirichlet1000.0-D10-content
647	Q0	FT943-8996	8.940124	LMDirichlet1000.0-D10-content
450	Q0	FT941-13153	11.04772	LMDirichlet1000.0-D10-content
601	Q0	FT943-6412	9.127641	LMDirichlet1000.0-D10-content
338	Q0	LA120390-0085	8.589494	LMDirichlet1000.0-D10-content
385	Q0	FBIS4-44893	10.336005	LMDirichlet1000.0-D10-content
341	Q0	FT941-4175	5.5923414	LMDirichlet1000.0-D10-content
652	Q0	FBIS4-53062	8.159065	LMDirichlet1000.0-D10-content
648	Q0	FR941202-0-00179	6.258501	LMDirichlet1000.0-D10-content
352	Q0	FT944-4064	9.151959	LMDirichlet1000.0-D10-content
